mcs7PSU,RT @ClimateReality: Can you stand the heat? #ClimateChange @RosemaryMosco http://t.co/rO5EXgWlZP
EricdeMarylebon,RT @climatechange_a: Why Teenagers Are Suing States Over Climate Change - Forbes http://t.co/j8LVywPp06 #ClimateChange
EricdeMarylebon,RT @climatechange_a: Did climate change cause California drought? - CNN http://t.co/qc2E4ctkMT #ClimateChange
luxandeco,"Fascinating break down of why ""#ClimateChange is no longer only an environmental issue""!! https://t.co/j1IZw6poDA"
EricdeMarylebon,RT @climatechange_a: Obama Uses Daughter's Asthma Attacks to Talk About...Climate Change - http://t.co/EHiL44Otwl http://t.co/rF3ciBXU9i #C…
thjr19,RT @MSR_Future: 2 The Future of #Nuclear Power: Getting Rid of the waste http://t.co/EN2VaMtSUE #thorium #lftr #climatechange http://t.co/4…
tasteofghana,"RT @bennydiego: President Obama, others link #climatechange to public health  

http://t.co/fn4Eb1DCZZ 
#ClimateAction #ActOnClimate http:/…"
sierraclub,"RT @DeSmogBlog: #Climatechange attacks: Western #Canada to lose 70 percent of glaciers, study says http://t.co/edIwsWqIVR"
FrancAguilera,"RT @bennydiego: President Obama, others link #climatechange to public health  

http://t.co/fn4Eb1DCZZ 
#ClimateAction #ActOnClimate http:/…"
DeSmogBlog,"#Climatechange attacks: Western #Canada to lose 70 percent of glaciers, study says http://t.co/edIwsWqIVR"
athenabongard,RT @CatholicClimate: Today's White House Report links #climatechange to public health (something the The Catholic Health Association... htt…
IDG375,The Plan to Build an Undersea Cable Around the US—and Why We Need It http://t.co/ThswRgXNsm #ClimateChange #p2 #UniteBlue
MarcVegan,"RT @BoomerWarrior: Climate Activism has #emotional consequences #depression #climatechange #mentalhealth #climate
http://t.co/YGuXk6jpyG ht…"
kimberlymontse1,RT @climatechange_a: Why Teenagers Are Suing States Over Climate Change - Forbes http://t.co/j8LVywPp06 #ClimateChange
hermesbcs,RT @tveitdal: California’s Historic Drought Threatens the Future of Orca Whales #climatechange http://t.co/Sa5PoaG2Sp http://t.co/QEPRlgPko1
LCVoters,Health impacts of #climatechange are already affecting Americans. The @WhiteHouse has released a plan to tackle that. http://t.co/ql8nrx7xO2
BoDanielV,Ps. #climatechange #globalwarning &amp; its effects... If a crocodiles egg temperature changes 1degree it determines the gender.. #JustSaying
MeeajanSara,"RT @UN: #Climatechange is a “hunger-risk multiplier,” @FAOnews convo on impacts on food &amp; nutrition http://t.co/6L2ud6mYft http://t.co/P3C7…"
DavidFratantoni,RT @Earthjustice: Wow! Mexico announces goal to reduce greenhouse gas emissions 22% by 2030. http://t.co/WfGa7xLqTL #climatechange
martinezc906,"RT @banegas_cool: 📝BLOG: On #Iran and #ClimateChange , @BarackObama puts stamp on 2016 👉http://t.co/81Fzno8GWv | @ThePlumLineGS #Elections2…"
davidsteves,RT @aahearn: #CarbonTax in WA. Would you vote for that? http://t.co/iraSSeLitu #climatechange @climatesolution @carbonwa
climatechange_a,Tribe considered “a traitor” for advocacy in climate change case - Washington Post http://t.co/nFJKBQWowL #ClimateChange
Qehsgeography,RT @FAOKnowledge: #Climatechange is a “hunger-risk multiplier”. Join discussion: impacts on food &amp; nutrition sec http://t.co/4XxnTPCKJC htt…
Saidmose,RT @NewDay: .@drsanjaygupta sat down with @BarackObama to discuss #climatechange &amp; the Affordable Care Act. Watch at 6:50amET. http://t.co/…
ganex,RT @SkymetWeather: #IndianArmy climbers to bring back 4000 kg of waste from #MountEverest READ NOW: http://t.co/Ym8vtNYr7H #climatechange
worldchannelPTV,Also ON w/ @tavissmiley now..#RobertKenner. The @merchantsdoubt filmmaker talks public #propaganda of #climatechange. http://t.co/qnrSjQ05G4
Charlotte_billi,"RT @iddrilefil: ""Adressing #climatechange is also a social agenda"". Jose Luis Samaniego @eclac_un conf @COP21MIW http://t.co/VG2wdpHHS6"
dare2misbehave,Obama: Malia's asthma brings home #ClimateChange debate via @AP #environment http://t.co/n9nkqc3gI5
Clara_Vondrich,"MA court denying @DivestHarvard standing to sue is myopic &amp; this statement silly ""While plaintiffs “fervently believe #climatechange (1/2)"
Gargonmis,Five reasons cities are key to solving #climatechange http://t.co/hMd4cCZgwv vía @RTCCclimatenews
Connect4Climate,".@GreenSchenk @tcktcktck ""Paris is the stop on the #climatechange road map"" @COP21 #TakeOn @EarthDayNetwork #OurTimetoLead"
athenabongard,RT @CatholicClimate: New film .@merchantsdoubt documents industry-funded #climatechange denial: https://t.co/wrBRQHF8cH http://t.co/knrxtDf…
amsystems1976,"Obama: Climate change contributes to asthma, rising health care costs.  http://t.co/4VMvNJlTpK #asthma #climatechange"
crazylary51,RT @PplOverPower: McConnell admits republicans are run by #KochBrothers http://t.co/pymmy7oi2J #KeystoneXL #NoKXL #UniteBIue #climatechange…
BLUEdotRegister,"RT @Ken_Greenwood: If your position is different from 97% of scientists,  raises basic competency questions... http://t.co/acToEh7RV6 #clim…"
AdvocateBratty,RT @PplOverPower: McConnell admits republicans are run by #KochBrothers http://t.co/pymmy7oi2J #KeystoneXL #NoKXL #UniteBIue #climatechange…
IndiciaInfo,"Jonathan Franzen is confused about climate change, but then, lots of people are http://t.co/avmsiXQt5s #climatechange #Franzen"
Parker83591697,"RT @natalieben: Great to be able to get #climatechange into #leaderdebate + living wage, zero tuition fees, exam-factory schools &amp; asylum p…"
JessLynde,"@BBCBreakfast fantastic piece this AM on impact of climate change on salmon migration, but no mention of #climatechange!  #missedopportunity"
Daniel_P_Lopes,"#TakeOn ""Climate change is a media problem, so we need to bet on media communication (social networks)"" #connect4climate #climatechange"
mch7576,The #WhiteHouse wants to explore how #climatechange makes you sick http://t.co/JjcSOef5yG
banfossil,"RT @Ken_Greenwood: If your position is different from 97% of scientists,  raises basic competency questions... http://t.co/acToEh7RV6 #clim…"
bonniej61,RT @pg2paloma: Polar bears and climate change. #photos #climatechange http://t.co/t7EDnf8iaF
Eco_Wife,"We need to find solutions and we need to act quickly, time is running out! #climatechange http://t.co/xe7jsJXRmN"
Enkidu_G,"@Acclimatise @the_hindu Give up, Your silly propaganda about the hoax of #globalwarming and #climatechange doesn't work!"
Enkidu_G,"@ClimateChangRR Give up, Your silly propaganda about the hoax of #globalwarming and #climatechange doesn't work!"
WizzyProbs,"RT @bennydiego: President Obama, others link #climatechange to public health  

http://t.co/fn4Eb1DCZZ 
#ClimateAction #ActOnClimate http:/…"
EcoWarrior1980,Dry Spring http://t.co/UrRYzYro4t #climatechange http://t.co/kHHf2lxzNL
winter_sinclair,"RT @Greenpeace: Obama rallies Google &amp; Microsoft against #climatechange's health effects - Let's cut emissions 1st!
http://t.co/azXk0K76Ab
…"
bennydiego,"President Obama, others link #climatechange to public health  

http://t.co/fn4Eb1DCZZ 
#ClimateAction #ActOnClimate http://t.co/WaVnjzcV7Z"
dailygreen_it,Entro 21mo secolo il Canada senza ghiacciai #CLIMATECHANGE #globalwarming http://t.co/VXbh6Wwe2c
dirk_van_e,RT @wef: What happens when an iceberg the size of a country breaks away? http://t.co/ouDhrx1Hii #climatechange #Antarctic http://t.co/6uMju…
silenced_not,"@theblaze @BarackObama #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/xDUffVPZjE"
CloudRider,He's coming on clouds http://t.co/mbUGZSiJpc? #earthchanging #earthchanges #earthchange #climatechange #extremeweather #endtimes #prophecy
silenced_not,"@RTCCclimatenews @rtcc_megan @YESBANK #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/xDUffVPZjE"
detous,"As #California Faces Drought, #Film Links #Meat Industry to #Water Scarcity and #ClimateChange http://t.co/4eZDqItnV1 via @democracynow #CA"
JClimateAN,"""By giving #indigenous people a seat at the table, we're making #climatechange mitigation more effective in Mexico: http://t.co/92YgFdbrfb"
Achi_HF88,"RT @USGS: Coral reef webinar 4/16 @5pmET Avoid barriers, missing it’ll take atoll on ya! http://t.co/R6Vjut05Qq #climatechange http://t.co/…"
eligerzon,"""By giving #indigenous people a seat at the table, we're making #climatechange mitigation more effective in Mexico: http://t.co/UffQlyAqef"
AUCTlON,http://t.co/thCG0T4DHk   is for sale #climatechange @algore @LeoDiCaprio
SKEIGECO,RT @NewClimateEcon: Innovative strategies to #TakeOn #climatechange: Join  @Connect4Climate &amp; @EarthDayNetwork eDiscussion at 11AM EDT http…
COP21MIW,"“#Climatechange also due to #deforestation - gives rise to 18-20% total emissions p/a. In #LatinAmerica, it is 40-50% of emissions”: R Lagos"
Irish2510,RT @tveitdal: California’s Historic Drought Threatens the Future of Orca Whales #climatechange http://t.co/Sa5PoaG2Sp http://t.co/QEPRlgPko1
NJSnowFan,NOAA sunspot is 39 today. No a good Number for World Sea Ice #climatechange Alarmist http://t.co/XuRrkPVlGP
PasicUganda,"RT @UN: #Climatechange is a “hunger-risk multiplier,” @FAOnews convo on impacts on food &amp; nutrition http://t.co/6L2ud6mYft http://t.co/P3C7…"
aaronjhill,"“#Climatechange” causes #asthma, according to one expert. (He's not only #president, but also a #genius scientist.) http://t.co/b2KlkEwwDI"
sweetxhoran,RT @earthhour: Powerful words @Real_Liam_Payne!Use #YourPower to change #ClimateChange.Watch http://t.co/Az6Zvfsbk8 to know how.#LetsHelpLi…
EPWashingtonDC,Climate change: the challenge of finding the funds needed #ClimateChange http://t.co/KjAx0aPU0G
silenced_not,"@ClimateReality @EPA #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/xDUffVPZjE"
astropach1997,#Arctic research vessel set adrift to study sea ice decline http://t.co/8xhtiaQgw0 #worldnews #seaice #climatechange
NiliMajumder,"RT @Connect4Climate: .@maxthabiso: ""Localize stories is very important when we talk about #climatechange"" @EarthDayNetwork #TakeOn #Ourtime…"
Ken_Greenwood,"If your position is different from 97% of scientists,  raises basic competency questions... http://t.co/acToEh7RV6 #climatechange #divest"
clrih9,"RT @KSITESL: @milesjreed @SenWarren GOD BLESS U SEN WARREN Fighting4 Families,#MiddleClass #Equality #Union #ClimateChange ETC. #UniteBlue …"
UOITEnergyEng,Study finds that #solar will be most inexpensive form of energy by 2025 - http://t.co/ELbyEXTvpe #renewableenergy #climatechange
ruby_iqbal,"Support @natalieben at #ClimateChange hustings, Holborn &amp; St Pancras, #London today at 6:30PM: https://t.co/dVk6Lo7hOE #VoteGreen2015"
CraigAnthonyIII,"Climate Change: On Naomi Klein, The Deniers and Learning To Swim http://t.co/ZVbtOu66Xv #climatechange @naomiaklein @rustyrockets"
silenced_not,"@SFENorg @FORATOM_nuclear #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/xDUffVPZjE"
amagickeagle999,RT @PaulHBeckwith: #climatechange messing with #ocean's #circulation. That's not good. http://t.co/1zIxVpiRnT http://t.co/RLGJVVsAZX #clima…
stephrguzman,RT @bberwyn: How warm was YOUR state in March? 12th-warmest across the U.S. - http://t.co/N0iGXE7Mu6 #climatechange http://t.co/rlLt9f0W9f
akis_matoulas,RT @tveitdal: California’s Historic Drought Threatens the Future of Orca Whales #climatechange http://t.co/Sa5PoaG2Sp http://t.co/QEPRlgPko1
Connect4Climate,".@maxthabiso: ""Localize stories is very important when we talk about #climatechange"" @EarthDayNetwork #TakeOn #Ourtimetolead"
AirResources,President Obama says #climatechange is harming American's health http://t.co/HqLgVeEcf1 http://t.co/o0KzXR1n5H
VoxPackers,"No public funds for a new coal power station in the UK!  http://t.co/KVciiHRU5z
#environment #carbonpollution #climatechange #cleanenergy"
hadleywriter,The book has #physics #sociology #cookinginextremeclimates #climatechange  #climatedeniers #art. And the kitchen sink. #amrevising
rstokes837_rick,"RT @NRDC: This week, the Obama administration took action to protect communities from #climatechange impacts. http://t.co/9pyqJvt2Oq"
bberwyn,How warm was YOUR state in March? 12th-warmest across the U.S. - http://t.co/N0iGXE7Mu6 #climatechange http://t.co/rlLt9f0W9f
silenced_not,"@DaniNierenberg @OxfamAmerica #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/xDUffVPZjE"
savvykangaroo,Are Most #Americans Are Unfazed By the #ClimateChange? http://t.co/6FojDIkC8I
CMLearning,16 Core #Dharma Principles Important To Address #ClimateChange and How Dharma Practitioners Can Engage http://t.co/uUvOAS2SXM
ESnetUpdates,MT @berkeleylab: Climatologists 2 physicists: your planet needs you http://t.co/a0wwZy3oBs @NatureNews #climatechange http://t.co/fpbNa1tqBo
sandra_vachet,"RT @Greenpeace: US Medical schools begin training students to treat diseases resulting from #climatechange.
http://t.co/azXk0K76Ab http://t…"
JMHaircut,"RT @MEEchelleO: MEE &amp; Barack blame #ClimateChange for Malia's asthma, not the secondhand-smoke from His Virginia Slim menthols!
-mao
#tlot …"
Enkidu_G,@ClimateChangRR This is another silly propaganda lie for #Geoengineering like #climatechange &amp; #globalwarming by #CO2 .
silenced_not,"@MMNNGreenWorld @GECoalition #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/xDUffVPZjE"
MTScientists,RT @mobio: A beautiful day. What's the worry? Why should you care about climate change? http://t.co/95cFwCD8cP #EarthDay #ClimateChange @MT…
MSR_Future,2 The Future of #Nuclear Power: Getting Rid of the waste http://t.co/EN2VaMtSUE #thorium #lftr #climatechange http://t.co/4Kim8G5Wni
TexasRPhJD,#ClimateChange too huh barry? or wonderful economy? http://t.co/3TPSXFVTAY
GlobalThermo,Are we reaching a positive #climatechange tipping point? via @guardian http://t.co/IY4xDmPmml
rachelmoseley5,RT @timothylarge: The story behind one of the first video games dealing with the effects of #climatechange # http://t.co/Uw3cv26lGU http://…
k8ertot11,RT @tveitdal: California’s Historic Drought Threatens the Future of Orca Whales #climatechange http://t.co/Sa5PoaG2Sp http://t.co/QEPRlgPko1
tamraraven,RT @IISD_news: #ClimateChange is the ultimate threat multiplier @KaveriMarathe @guardian http://t.co/adJn3Vpj7Z #susdev #sustdev
chichilnisky,Are we reaching a positive #climatechange tipping point? via @guardian http://t.co/sqc3PjWyJG
marmitefrog27,RT @TearfundRhythms: Will we always be known as the throwaway generation? #climatechange #SDGs #COP21 http://t.co/Q9OZ4My9zT
silenced_not,"@Connect4Climate @apidaeDI @GreenSchenk #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/xDUffVPZjE"
SammyCatania,RT @PplOverPower: McConnell admits republicans are run by #KochBrothers http://t.co/pymmy7oi2J #KeystoneXL #NoKXL #UniteBIue #climatechange…
SaraAshleyGrant,RT @TR_Foundation: The story behind one of the first video games dealing with the effects of #climatechange http://t.co/BV3bC4sZ2b # http:/…
silenced_not,"@skybiggerpic @cisl_cambridge @ClimateCLG #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/xDUffVPZjE"
BearTrust,RT @tveitdal: California’s Historic Drought Threatens the Future of Orca Whales #climatechange http://t.co/Sa5PoaG2Sp http://t.co/QEPRlgPko1
IPCmagazine,RT @BreakDengue: Crowded cities and climate change: their impact on #dengue http://t.co/S0LtpoA8q3 #climatechange #urbanization
FAOBangladesh,RT @FAOKnowledge: #Climatechange is a “hunger-risk multiplier”. Join discussion: impacts on food &amp; nutrition sec http://t.co/4XxnTPCKJC htt…
WFRGreens,"Show your support for @natalieben at #ClimateChange hustings, Holborn &amp; St Pancras, today 6:30PM: https://t.co/rNJiQbFQWQ #VoteGreen2015"
silenced_not,"@IPPF_WHR @unfoundation #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/xDUffVPZjE"
SuperDuperHoopr,"RT @Numerologynow: CAN'T Stop VOLCANO ERUPTIONS
 #climatechange 
#FACT

1 ERUPTION = MORE POLLUTION THAN ALL MAN MADE MACHINES COMBINED htt…"
occupytheseed,RT @janis4aloha: Small-Scale Farmers Cool the Planet http://t.co/5F2zz73oFJ @drvandanashiva @occupytheseed @OrganicConsumer @RodaleInstitut…
Aimee587,"RT @Connect4Climate: .@GreenSchenk @tcktcktck: ""Using celebrities to advocate for #climatechange is good but not enough, we need people's a…"
silenced_not,"@UN4Youth @UNDPLAC #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/xDUffVPZjE"
drewfbush,i wanna go #education #climatechange https://t.co/S7VtYIByzc
maxwellsykes,RT @ldattaro: For @CJR; A group of climate scientists is annotating #climatechange journalism on the web @ClimateFdbk http://t.co/sXj2cu5lzb
UNUWIDER,"RT @TonysAngle: Climate change impacts in #SouthAfrica
http://t.co/UpsSEpc6Ss via @UNUWIDER #climatechange"
vfwgirl,"RT @MEEchelleO: MEE &amp; Barack blame #ClimateChange for Malia's asthma, not the secondhand-smoke from His Virginia Slim menthols!
-mao
#tlot …"
EcoWatch,RT @tveitdal: California’s Historic Drought Threatens the Future of Orca Whales #climatechange http://t.co/Sa5PoaG2Sp http://t.co/QEPRlgPko1
SITSSHOW,"#UN #climatechange  Official says ""We Should Make Every Effort"" to #Depopulate the #Planet

http://t.co/zOOlyvTbw1 http://t.co/oRz35lcZQ9"
MEEchelleO,"MEE &amp; Barack blame #ClimateChange for Malia's asthma, not the secondhand-smoke from His Virginia Slim menthols!
-mao
#tlot #tcot #lnyhbt"
123CaGovernment,RT @NationofChange: Antarctica Recorded Its Hottest Temperature Ever This Week http://t.co/LMqfwA7bqj http://t.co/Fv69na7fyc #Antarctica #c…
silenced_not,#canpoli #cdnpoli @pmharper silenced scientists as plausible denial legal defense for Criminal Court #climatechange http://t.co/v3l7LmtbeL …
theACUNS,"Read our Book Review of “Climate and Human Migration”, reviewed by Mokbul Morshed Ahmad  http://t.co/Suqr6whRJC #climatechange"
parabolico_bh,"RT @Yolibeans: Xingu River at the Amazon #Rainforest-
Please keep it that way. #ClimateChange #Brazil http://t.co/ML0AFaLB1D"
Alma_Rob,#ClimateChange threatens hummingbirds https://t.co/9jSZlU0faB via @audubonsociety #fortheloveof
buffaloon,RT @PplOverPower: McConnell admits republicans are run by #KochBrothers http://t.co/pymmy7oi2J #KeystoneXL #NoKXL #UniteBIue #climatechange…
COP21MIW,"José Luis Samaniego @eclac_un: ""Richest within countries consume most energy, pollute most... addressing #climatechange is a social agenda!"""
Jamiesanssuchan,"RT @UN: #Climatechange is a “hunger-risk multiplier,” @FAOnews convo on impacts on food &amp; nutrition http://t.co/6L2ud6mYft http://t.co/P3C7…"
juebeck,RT @johnjberger: #Climatechange deniers are in retreat http://t.co/yrPJq4jvoM
AFNCWOODWARD,".@BrianHughesDC: On #climatechange, Obama fights public opinion. @dcexaminer http://t.co/2s1pUugar7"
AncientHominids,Find Out How Committed Your State Is to Local Foods http://t.co/DKLxzR0AlT #climatechange
dennisearlbaker,#canpoli #cdnpoli @pmharper silenced scientists as a plausible denial legal defense for Criminal Court #climatechange http://t.co/c5ytQljB2t
iddrilefil,"""Adressing #climatechange is also a social agenda"". Jose Luis Samaniego @eclac_un conf @COP21MIW http://t.co/VG2wdpHHS6"
jordanashlieb,"RT @UN: #Climatechange is a “hunger-risk multiplier,” @FAOnews convo on impacts on food &amp; nutrition http://t.co/6L2ud6mYft http://t.co/P3C7…"
Lagedor49,RT @BankableInsight: The Costs of Hysteria: How Economists Are Misleading The Public on Climate-Change Policy - http://t.co/7fLPBRg33r #eco…
Connect4Climate,".@GreenSchenk @tcktcktck: ""Using celebrities to advocate for #climatechange is good but not enough, we need people's actions"" #TakeOn"
Energy_UKEP,Salix Finance empowers public sector organisations to take a lead in tackling #climatechange by helping to increase their #energyefficiency.
bethnearymd,MT @DrLaPook Obama links #climatechange to allergies/asthma - its a health issue for all of us http://t.co/HMq7uH5XPM @CBSThisMorning
TearfundRhythms,Will we always be known as the throwaway generation? #climatechange #SDGs #COP21 http://t.co/Q9OZ4My9zT
robeerobee,RT @markspicoluk: #climatechange #oceanacidification #starttheconversation http://t.co/PGGaL4C7Qv
SaurabhSony,RT @UNEP: MT: #climatechange affects #health. But how? Learn from @uncclearn module here! http://t.co/26C4JFNdvw @WHO http://t.co/PkoEa5qMos
PeterDormaar,RT @DecisionLab: Via@AdamZwickle: MSU to phase out #coal by end of 2016. See also: http://t.co/nrt6BXK7AS #energy #climatechange
daifuku1,@USGS: #CoralReef #climatechange  https://t.co/eLiskMPU6x
timothylarge,The story behind one of the first video games dealing with the effects of #climatechange # http://t.co/Uw3cv26lGU http://t.co/pV79mnTlWQ
TINGLEISM,California Drought Tests History of Endless Growth http://t.co/gf81UkNkdO via @ortechcanada #climatechange
PasicUganda,RT @FAOKnowledge: #Climatechange is a “hunger-risk multiplier”. Join discussion: impacts on food &amp; nutrition sec http://t.co/4XxnTPCKJC htt…
GennyDeMerchant,RT @rabbleca: Oiling the machinery of climate change denial and transit opposition http://t.co/KRkX6v28yj via @DavidSuzukiFDN #climatechange
Bloomsharimg,RT @airschis: #ClimateDeniers #ClimateChange Jerry Brown tells climate deniers to wake up and smell the drought http://t.co/m6SNp72kEI via …
christackett,RT @eilperin: On some policy pushes - like #climatechange - Obama puts the First Daughters center stage: http://t.co/JqUxVEeKTD
Bev_C_D,"RT @Greenpeace: US Medical schools begin training students to treat diseases resulting from #climatechange.
http://t.co/azXk0K76Ab http://t…"
ullamiettunen,"Ingen dum idé. Allt i lösvikt. Not a bad idea, no packages in this German store. #climatechange #Environment http://t.co/bvKgcyY2qV"
Janelixir,"RT @OilsandsAction: Canada's #oilsands is NOT a major source of #climatechange

http://t.co/o64dWUs0bs http://t.co/iXe9pT9oYv"
Hyperiontt,"RT @JimHarris: Renewable #Energy Creates WAY More Jobs Than Fossil Fuels, Saves $ + Lives &amp; Fights #ClimateChange! #climate http://t.co/pVu…"
fddchile,"RT @COP21MIW: Ricardo Lagos: ""What kind of investments are going to be made? Will they be friendly w/ #climatechange? This is key"" http://t…"
yianniskordaris,RT @wef: How can #China reduce its #coal consumption? http://t.co/42O6cuEe3Q #climatechange http://t.co/RITA2voNg0
milesjreed,"RT @KSITESL: @milesjreed @SenWarren GOD BLESS U SEN WARREN Fighting4 Families,#MiddleClass #Equality #Union #ClimateChange ETC. #UniteBlue …"
elite99thc,"RT @NRDC: This week, the Obama administration took action to protect communities from #climatechange impacts. http://t.co/9pyqJvt2Oq"
ThDole,"RT @COP21MIW: Ricardo Lagos: ""What kind of investments are going to be made? Will they be friendly w/ #climatechange? This is key"" http://t…"
jscover00,"RT @UN: #Climatechange is a “hunger-risk multiplier,” @FAOnews convo on impacts on food &amp; nutrition http://t.co/6L2ud6mYft http://t.co/P3C7…"
Fossil_Free_NAU,Great news for #climatechange https://t.co/KEUgfkH3iF
TR_Foundation,The story behind one of the first video games dealing with the effects of #climatechange http://t.co/BV3bC4sZ2b # http://t.co/pJIbWIFPt4
themoneyweek,The global warming 'pause' is more politics than science http://t.co/eFtT2q19cE #climatechange #agw
Eco_Wife,The global warming 'pause' is more politics than science http://t.co/cX6eC6CBpC #climatechange #agw
YoOracle,The global warming 'pause' is more politics than science http://t.co/exkasBNDOP #climatechange #agw
Radiotweek,"RT @Greenpeace: US Medical schools begin training students to treat diseases resulting from #climatechange.
http://t.co/azXk0K76Ab http://t…"
stevebice1,RT @LungAssociation: #Climatechange impacts our #air and our #health. Here's how: http://t.co/y5LTcg9NtN #NPHW #CleanAir4Kids http://t.co/L…
NNW_101,Scheduled Tornado Swarm http://t.co/aMKghMdKTL #Geoengineering #Weather #climatechange #globalwarming #moore #tornado #okwx #WW101
dennisearlbaker,"@RobertKennedyJr @Global_nature #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/Dykn8Cnjr0"
866bb9cbb7ae42f,RT @UNEP: MT: #climatechange affects #health. But how? Learn from @uncclearn module here! http://t.co/26C4JFNdvw @WHO http://t.co/PkoEa5qMos
shawnee0714,"#America #Climatechange #Deforestation
8 Maps: http://t.co/sZP2IroFf2 @Wilderness @NASA @NatlParkService @USDA @NOAA http://t.co/X4RCO8FtPs"
parislady1492,RT @PplOverPower: McConnell admits republicans are run by #KochBrothers http://t.co/pymmy7oi2J #KeystoneXL #NoKXL #UniteBIue #climatechange…
dennisearlbaker,"@WBG_Poverty #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/Dykn8Cnjr0"
johnjberger,#Climatechange deniers are in retreat http://t.co/yrPJq4jvoM
dennisearlbaker,"@YaleClimateComm #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/Dykn8Cnjr0"
RewardConsent,"Dear #Florida, There are news reports of a ban in your state on saying, ""#ClimateChange."" Are you allowed to say, ""Three ring circus""?"
niebais1,RT @BankableInsight: The Costs of Hysteria: How Economists Are Misleading The Public on Climate-Change Policy - http://t.co/7fLPBRg33r #eco…
BruceMirken,California's smart #climatechange policies are good for Latinos http://t.co/F9OzwDxmvw #AB32 #UpLiftCA @CAdelivers
FardigJudith,"@MotherJones @metaquest He's a Koch puppet, so of course he lies about #climatechange"
dodle,"RT @OilsandsAction: Canada's #oilsands is NOT a major source of #climatechange

http://t.co/o64dWUs0bs http://t.co/iXe9pT9oYv"
BankableInsight,The Costs of Hysteria: How Economists Are Misleading The Public on Climate-Change Policy - http://t.co/7fLPBRg33r #economics #climatechange
crane_jose,@alroker lmao hahahahah #climatechange My News Show Still Needs Work 📺 (Feat. Al Roker) https://t.co/NW1aVRqxtr
JackSciarr,Why Teenagers Are Suing States Over #ClimateChange 🌎 http://t.co/cHp1BW5Ugy
hashtagclimate,RT @jessicathrasher: Reduce meat consumption to take #climatechange off our plates! #GoVeg @CenterForBioDiv via @hashtagclimate http://t.co…
AmboyFFAAlumni,RT @FarmJournal: RT @AgSmarts: US #Farmers Might Face Increased Competition for #Water under #ClimateChange via @samara333 http://t.co/elt8…
nolenje,RT @LungAssociation: #Climatechange impacts our #air and our #health. Here's how: http://t.co/y5LTcg9NtN #NPHW #CleanAir4Kids http://t.co/L…
EcoFashion2015,"RT @climatechange_a: As climate change research evolves, some areas of study become more popular and... #ClimateChange http://t.co/aZqYJh7u…"
tengkuferdi,"RT @UN: #Climatechange is a “hunger-risk multiplier,” @FAOnews convo on impacts on food &amp; nutrition http://t.co/6L2ud6mYft http://t.co/P3C7…"
richardlevangie,Engaging with #fossilfuel companies over #climatechange is a waste of time and effort http://t.co/4o3OSJvLEH
Aimee587,"RT @Connect4Climate: .@Aimee587 @ClimateHotNews: ""Social media is the perfect tool to communicate #climatechange among millennials"" @EarthD…"
MarkTylerMusic,RT @markspicoluk: #climatechange #oceanacidification #starttheconversation http://t.co/PGGaL4C7Qv
usfs_rmrs,Don't miss today's Webinar re #climatechange pose challenges to #environment &amp; #communities! http://t.co/m0kC6jpyXI http://t.co/wFEjgBRJkT
KevJames91,@ShannonBream next @Obama will say climate change is the cause of skin cancer...(rolling my eyes) @FoxNews #climatechange #climate #nonsense
Tudorlyn,"RT @NRDC: This week, the Obama administration took action to protect communities from #climatechange impacts. http://t.co/9pyqJvt2Oq"
EAfricaRetweet,RT: A forum on   via: @greennativ: A forum on #ClimateChange http://t.co/VvSZj88mmn  via #EastAfrica #Africa http://t.co/IHBHk4pXEY
USFPCGS,"@WorldBank alarmed over sea level rise in #Sunderbans
 http://t.co/n2NZoGXpel #sealevelrise #slr #climatechange"
BreakDengue,Crowded cities and climate change: their impact on #dengue http://t.co/S0LtpoA8q3 #climatechange #urbanization
EnergyTech_News,"""How Nanotechnologies Will Disrupt the Electrical Grid"" http://t.co/aJcLGq875H #climatechange"
ClimateWise2015,RT @MercianRockyRex: Rocky Rex's Science Stuff: CO2 in the Air - The Carbon Cycle http://t.co/6myz9OksWz #climatechange #globalwarming #che…
ClimateWise2015,"RT @climatechange_a: As climate change research evolves, some areas of study become more popular and... #ClimateChange http://t.co/aZqYJh7u…"
wisealpha,"RT @apidaeDI: @Revkin good point! #climatechange is prismatic and spills out to everyone - no matter who we are, we can all contribute #tak…"
damienpmurphy,#ClimateConversations: Challenges &amp; opportunities of a sustainable economy http://t.co/MjtqgcBQtM #climatechange @TheClimateGathering
Vida_Jay,MT @publicjustice: APR 13 - #JusticeTour2015 is coming to Vancouver | INFO here http://t.co/UuxD5EfuBT http://t.co/UuxD5EfuBT #climatechange
